id,listing_url,name,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_identity_verified,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_updated,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
860378,https://www.airbnb.com/rooms/860378,STHA 2017/0002 TA-061-740-4416-01 Hana Maui Hawaii,Remember Hana is a a rural tropical rainforest so there are insects and rain. We wish we could control both of them but we can't. But those are the things that make Hana so unique and beautiful.<br /><br />STHA 2017/0002,https://a0.muscache.com/pictures/miso/Hosting-860378/original/6c2ee045-1dc2-49dc-8219-16c41b6c2c37.jpeg,165526166,https://www.airbnb.com/users/show/165526166,Emalia,2018-01-03,"Kula, HI",,within an hour,100%,100%,t,12.0,"['email', 'phone', 'work_email']",f,$177.00,1,1125,1,1,1125,1125,1.0,1125.0,t,1,2,7,146,,395,56,5,2013-08-30,2025-02-26,4.8,4.89,4.81,4.94,4.9,4.91,4.66,t,3,3,0,0
1381735,https://www.airbnb.com/rooms/1381735,"Bright & Airy- A/C, Full Kitchen, W/D","Princeville is an amazingly convenient and beautiful community on the North Shore. Here's why you'll love it:<br /><br />From the condo location it is easy to walk to the beach or the grocery store and the views in either direction are spectacular, with ocean one direction and mountains and waterfalls the other! In fact there is a network of fantastic walking and running trails all over Princeville, making it likely the safest and easiest of locations of the island to walk or take a run. Another bonus is that many of the nearby golf courses are open for pedestrian exploration after 5pm, which is beyond excellent for sunset strolls.<br /><br />The coastline below Princeville provides some of the most pristine, clear water on the North Shore due to the lack of rivers and fresh water runoff. Because of this, Princeville has some amazing exploring to enjoy below its bluffs (surf conditions permitting!!). The clear water provides some of the very best turtle viewing, snorkeling, pristine co",https://a0.muscache.com/pictures/c61d6960-8155-4828-996d-ac81028dbbeb.jpg,1378424,https://www.airbnb.com/users/show/1378424,Lanya,2011-11-06,"Hawaii, United States","Aloha! I am Lani and I am passionate about sharing and passing on the love I have for my island Home of Kauai to those who visit this special place.

I’ve lived on Kauai for much of my life. I was born near Tunnels Beach and have always considered the North Shore of Kauai “home”. However, adventures beyond the islands, eventually brought me to the mainland and abroad.  I went to school in Santa Cruz California and even got interested in colder climates for a while. Between travels abroad, I worked as an entrepreneur and in various outdoor industries for the better part of a decade, living in amazingly scenic, rural towns. One of my favorite of those towns was Jackson Hole Wyoming, where I lived for several years before moving back to Kauai. It took searching the world to ultimately realize, there’s no place like home.  

I truly enjoy passing on the love and reverence I have of my island home to my guests. I offer my local knowledge and recommendations in addition to providing exceptional quality accommodation and service. I want to ensure that my guests have as much fun and as little worries as possible on their visits to Kauai!

I love offering conscientious  travelers an amazing home while they explore the Garden Island, and both my condos are thoughtfully equipped, well located and always kept clean and attended to with lots of love.

I am are honored to have received such great reviews, and maintained a consistent Airbnb SuperHost rating that I have held strong for several years.

I am grateful for my guests, as they give to me just as much as I give them.

Happiest of travels and lots of Aloha to you!

Lani

",within an hour,100%,97%,t,4.0,"['email', 'phone', 'work_email']",t,$260.00,2,30,2,2,1125,1125,2.0,1125.0,t,2,5,23,64,,335,37,0,2013-10-14,2025-01-30,4.92,4.94,4.93,4.96,4.98,4.87,4.85,f,4,4,0,0
2900218,https://www.airbnb.com/rooms/2900218,Stunning central Honolulu penthouse (30 days+),"Set between the Punahou and Moiliili neighborhoods of central Honolulu, the building is close to Waikiki (10 minute drive) and the downtown business district (10 minute drive). The airport is 15 minutes away on the H1 highway (without traffic). There is a 24 hour restaurant within walking distance, and the Ala Moana shopping center is 5 minutes away, without traffic.",https://a0.muscache.com/pictures/41555303/5a214a06_original.jpg,14807311,https://www.airbnb.com/users/show/14807311,Frederick,2014-04-27,"London, United Kingdom","I'm an independent consultant who lives in London, with occasional onsite work around the world. I grew up in the US but have been based in the UK for seven years. I look after a number of family properties, which we sometimes make available for rent when we are not home.",within a day,100%,0%,f,5.0,"['email', 'phone']",t,$550.00,30,1125,30,30,1125,1125,30.0,1125.0,t,28,58,88,363,,1,0,0,2015-01-10,2015-01-10,4.0,5.0,5.0,2.0,5.0,4.0,4.0,f,1,1,0,0
3386000,https://www.airbnb.com/rooms/3386000,Waikiki Modern Studio Free Parking On Site 日本語,"A quick walk would lead you to the famous Waikiki beach, Ala Moana Shopping Center, the luxury Kalakaua Shopping street plus great restaurants & souvenir shops.",https://a0.muscache.com/pictures/46062652/c86441a6_original.jpg,2783824,https://www.airbnb.com/users/show/2783824,Ssen,2012-06-29,"Honolulu, HI","Meeting various people is one key reason why we started to host. We thought that meeting and interacting with them would give us first-hand information about their culture and their country.  

When we were in Europe, we were pampered by all our Airbnb hosts, so here in Hawaii, we will do our best to provide the same (or more) hospitality to all our guests as well.

Looking forward to accommodating you here in our cozy & contemporary studio !!!

Much Aloha,

Ssen",within an hour,90%,99%,,12.0,"['email', 'phone']",t,$165.00,1,1125,1,1,1125,1125,1.0,1125.0,t,15,21,51,314,,376,28,1,2014-07-03,2025-02-16,4.87,4.87,4.93,4.83,4.94,4.87,4.8,t,2,2,0,0
5307830,https://www.airbnb.com/rooms/5307830,Hale Aloha: 4Br/3Ba View w/ Van - Next to Waikiki,"》St. Louis Heights,  2 miles away from Waikiki Beach and 1/4 mile away from the H1 freeway access.<br />》At the bottom of our hill you will find some of the best restaurants the island has to offer  - Taj Mahal (Indian), Sabrina's (Italian), Fresh Catch (Island Fish) to name a few<br />》Downtown Kaimuki is a short walk further down the street to enjoy a day of fun eclectic window shopping!",https://a0.muscache.com/pictures/prohost-api/Hosting-5307830/original/17603c14-c4e1-4099-b1a1-f69305665f73.jpeg,24671259,https://www.airbnb.com/users/show/24671259,Glen,2014-12-09,"Honolulu, HI","Aloha! 


We're a family-owned business sharing our love for Oahu through luxury vacation rentals and free minivans. 

As Superhosts on Airbnb & Turo, we're dedicated to providing exceptional experiences. 

Our large homes are perfect for families & groups, and we're always here to help you make unforgettable memories. 

 Mahalo nui loa!  Glen, Owner

Direct: oceanviewoahu",within an hour,88%,100%,t,8.0,"['email', 'phone', 'work_email']",t,$241.00,30,365,30,30,365,365,30.0,365.0,t,29,37,67,183,,47,1,0,2017-09-27,2024-07-11,4.81,4.7,4.68,4.87,4.87,4.94,4.64,f,4,4,0,0
6820221,https://www.airbnb.com/rooms/6820221,Puna Rainforest Hotspring Estate,"We live in a very safe, rural area and have a property gate. Hilo is only 24 miles away, Volcanoes National Park 40 miles and the Mauna Kea Observatory is 50 miles. Kona is 100 miles and takes about 2 hours. Puna Rainforest Estate is special because you can stay in a private place with natural settings away from the busy neighborhoods and resorts but are still close enough to enjoy the attractions.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjgyMDIyMQ%3D%3D/original/3e3962d8-3fb2-42f7-844b-61e6f4e246e6.jpeg,25115999,https://www.airbnb.com/users/show/25115999,Jacklynn,2014-12-22,"Pāhoa, HI","I am delighted to share this magical place with all the guests who are drawn here to experience the peaceful beauty and soothing sounds of nature.

This place is a dream come true and I feel blessed everyday to live here. ",within an hour,100%,100%,t,6.0,"['email', 'phone', 'work_email']",t,"$1,700.00",2,14,2,2,14,14,2.0,14.0,t,0,1,1,124,,53,6,0,2016-02-20,2025-01-29,4.96,4.92,4.96,5.0,4.98,4.94,4.89,f,6,6,0,0
8130280,https://www.airbnb.com/rooms/8130280,Corner Condo 1BR Oceanfront | Balcony,,https://a0.muscache.com/pictures/prohost-api/Hosting-8130280/original/e6c025e8-0044-4ff5-919f-9c9e76364289.jpeg,42618840,https://www.airbnb.com/users/show/42618840,Vacasa Kauai,2015-08-26,"Hawaii, United States","Vacasa
Vacation Home Management

Vacasa unlocks the possibilities of how we enjoy vacation homes. We take care of managing our homeowners’ vacation houses so they can have peace of mind (and their home when they want to). And our guests book vacations confidently knowing they’re going to find exactly what they’re looking for without any surprises.

Each vacation home is always cared for by our professional local teams who implement our high cleanliness and maintenance values, while the hands-off tasks of vacation rental management--marketing, filing taxes, and maintaining a website--are handled by a specialized central support team. Our passion and focus remain true: to empower our homeowners, guests, and employees to invest in vacation.",within an hour,100%,100%,f,32.0,"['email', 'phone', 'work_email']",t,$296.00,2,1125,2,5,2,1125,2.9,469.3,t,23,53,79,354,,176,15,1,2016-06-28,2025-02-07,4.73,4.73,4.69,4.76,4.75,4.8,4.55,t,22,22,0,0
9050504,https://www.airbnb.com/rooms/9050504,Spacious lanai and open-concept oceanfront condo,Noelani,https://a0.muscache.com/pictures/prohost-api/Hosting-9050504/original/c2f38853-072c-4cc6-90f5-0203f05a3515.jpeg,113441705,https://www.airbnb.com/users/show/113441705,Matthew,2017-01-26,"Hawaii, United States","My Perfect Stays is here to make your Maui vacation unforgettable! We are committed to delivering our valued guests the very best in quality and service. A member of our team will be available throughout your trip and beyond to ensure your vacation is hassle free and relaxing from the moment you arrive. We offer complimentary concierge services with all our properties.

My Perfect Stays
(800) 295-3855
reservations@myperfectstays.com",within an hour,96%,99%,f,401.0,"['email', 'phone']",t,$377.00,3,365,3,7,365,365,3.6,365.0,t,0,0,0,0,,43,11,0,2021-01-01,2025-01-17,4.88,4.93,4.91,4.74,4.84,4.93,4.79,t,347,347,0,0
10548991,https://www.airbnb.com/rooms/10548991,Jubilee By The Sea (Ocean Views),,https://a0.muscache.com/pictures/miso/Hosting-10548991/original/381790e0-5fed-4f78-b9a6-7a26cc3c8d25.jpeg,54391530,https://www.airbnb.com/users/show/54391530,Nate,2016-01-12,"Kailua-Kona, HI","We are from Phoenix, Arizona and absolutely love the Big Island of Hawaii. We are adventurous people and love to find hidden beaches, waterfalls, and new adventures every day on this island. Our home is in very close proximity to all that Kona has to offer. We took special care in renovating our new property to ensure that anyone who comes and stays would be comfortable and feel right at home.  We are always available to answer any questions that you have while you are enjoying your Hawaiian vacation.",within an hour,100%,87%,t,3.0,"['email', 'phone']",t,$480.00,2,28,1,7,28,28,2.1,28.0,t,11,36,59,291,,83,15,3,2016-08-10,2025-02-24,4.9,4.94,4.96,4.96,4.98,4.84,4.83,f,1,1,0,0
11755273,https://www.airbnb.com/rooms/11755273,Fully remodeled studio/Kingsize bed,,https://a0.muscache.com/pictures/0bbfc3bf-6f80-4b36-91c8-cc3e7aa6e349.jpg,62551872,https://www.airbnb.com/users/show/62551872,Ralph And Janice,2016-03-11,"Fort Wayne, IN","Ralph is a retired parish pastor and seminary vice president, now serving as director of donor advising for a humanitarian aid charity of their church body named Orphan Grain Train.  Janice is a retired registered nurse, now working part time as a yoga instructor and consultant.  

We first came to Maui in January, 1999, to celebrate our 25th wedding anniversary the previous June.  Why wait 7 months to celebrate?  If you lived in Nebraska in winter as we did at that time, you would wait also!   We went to Oahu, the Big Island and Maui, and fell in love with Maui.  We have been back almost every year since then and took the plunge to buy our condo in 2009.  We have truly enjoyed our stays there and have hosted over 350 guests since that time.  ",within a few hours,100%,93%,f,2.0,"['email', 'phone']",f,$191.00,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,,299,27,0,2016-03-17,2025-01-15,4.73,4.81,4.71,4.85,4.85,4.88,4.68,f,2,2,0,0
